分區,標題,斷層分類：,通過縣市：
北部,山腳斷層,第二類活動斷層,台北縣
北部,湖口斷層,第二類活動斷層,桃園縣、新竹縣
北部,新竹斷層,存疑性活動斷層,新竹市、新竹縣
北部,新城斷層,第二類活動斷層,新竹縣、苗栗縣
北部,獅潭斷層,第一類活動斷層,苗栗縣
中部,三義斷層,第二類活動斷層,苗栗縣、台中縣
中部,大甲斷層,第二類活動斷層,台中縣
中部,鐵砧山斷層,第二類活動斷層,台中縣
中部,屯子腳斷層,第一類活動斷層,台中縣
中部,彰化斷層,存疑性活動斷層,彰化縣
中部,車籠埔斷層,第一類活動斷層,台中縣、台中市、南投縣
中部,大茅埔－雙冬斷層,存疑性活動斷層,台中縣、南投縣
中部,九芎坑斷層,存疑性活動斷層,雲林縣、嘉義縣
西南部,梅山斷層,第一類活動斷層,嘉義縣
西南部,大尖山斷層,第一類活動斷層,南投縣、雲林縣、嘉義縣
西南部,木屐寮斷層,存疑性活動斷層,台南縣
西南部,六甲斷層,存疑性活動斷層,台南縣
西南部,觸口斷層,第一類活動斷層,嘉義縣、台南縣
西南部,新化斷層,第一類活動斷層,台南縣
西南部,後甲里斷層,存疑性活動斷層,台南縣、台南市
西南部,左鎮斷層,存疑性活動斷層,台南縣
南部,小崗山斷層,存疑性活動斷層,高雄縣
南部,旗山斷層,存疑性活動斷層,高雄縣
南部,潮州斷層,存疑性活動斷層,高雄縣、屏東縣
南部,恆春斷層,存疑性活動斷層,屏東縣
東部,米崙斷層,第一類活動斷層,花蓮縣
東部,玉里斷層,第一類活動斷層,花蓮縣
東部,池上斷層,第一類活動斷層,台東縣
東部,奇美斷層,第一類活動斷層,花蓮縣
東部,鹿野斷層,第二類活動斷層,台東縣
東部,利吉斷層,第二類活動斷層,台東縣
東部,嶺頂斷層,第二類活動斷層,花蓮縣
東部,瑞穗斷層,第一類活動斷層,花蓮縣
中部,初鄉斷層,第二類活動斷層,南投縣
南部,口宵里斷層,第二類活動斷層,臺南市
南部,車瓜林斷層,第二類活動斷層,高雄市
